HomeTeam,AwayTeam,FTR
Juventus,Cagliari,H
Verona,Napoli,A
Atalanta,Roma,A
Bologna,Torino,D
Crotone,Milan,A
Inter,Fiorentina,H
Lazio,Spal,D
Sampdoria,Benevento,H
Sassuolo,Genoa,D
Udinese,Chievo,A
Benevento,Bologna,A
Genoa,Juventus,A
Roma,Inter,A
Chievo,Lazio,A
Crotone,Verona,D
Fiorentina,Sampdoria,A
Milan,Cagliari,H
Napoli,Atalanta,H
Spal,Udinese,H
Torino,Sassuolo,H
Juventus,Chievo,H
Atalanta,Sassuolo,H
Benevento,Torino,A
Bologna,Napoli,A
Cagliari,Crotone,H
Inter,Spal,H
Lazio,Milan,H
Udinese,Genoa,H
Verona,Fiorentina,A
Crotone,Inter,A
Fiorentina,Bologna,H
Roma,Verona,H
Chievo,Atalanta,D
Genoa,Lazio,A
Milan,Udinese,H
Napoli,Benevento,H
Sassuolo,Juventus,A
Spal,Cagliari,A
Torino,Sampdoria,D
Bologna,Inter,D
Atalanta,Crotone,H
Benevento,Roma,A
Cagliari,Sassuolo,A
Genoa,Chievo,D
Juventus,Fiorentina,H
Lazio,Napoli,A
Milan,Spal,H
Udinese,Torino,A
Verona,Sampdoria,D
Juventus,Torino,H
Roma,Udinese,H
Spal,Napoli,A
Cagliari,Chievo,A
Crotone,Benevento,H
Fiorentina,Atalanta,D
Inter,Genoa,H
Sampdoria,Milan,H
Sassuolo,Bologna,A
Verona,Lazio,A
Genoa,Bologna,A
Udinese,Sampdoria,H
Atalanta,Juventus,D
Benevento,Inter,A
Chievo,Fiorentina,H
Lazio,Sassuolo,H
Milan,Roma,A
Napoli,Cagliari,H
Spal,Crotone,D
Torino,Verona,D
Juventus,Lazio,A
Roma,Napoli,A
Bologna,Spal,H
Cagliari,Genoa,A
Crotone,Torino,D
Fiorentina,Udinese,H
Inter,Milan,H
Sampdoria,Atalanta,H
Sassuolo,Chievo,D
Verona,Benevento,H
Napoli,Inter,D
Sampdoria,Crotone,H
Atalanta,Bologna,H
Benevento,Fiorentina,A
Chievo,Verona,H
Lazio,Cagliari,H
Milan,Genoa,D
Spal,Sassuolo,A
Torino,Roma,A
Udinese,Juventus,A
Inter,Sampdoria,H
Atalanta,Verona,H
Bologna,Lazio,A
Cagliari,Benevento,H
Chievo,Milan,A
Fiorentina,Torino,H
Genoa,Napoli,A
Juventus,Spal,H
Roma,Crotone,H
Sassuolo,Udinese,A
Milan,Juventus,A
Roma,Bologna,H
Benevento,Lazio,A
Crotone,Fiorentina,H
Napoli,Sassuolo,H
Sampdoria,Chievo,H
Spal,Genoa,H
Torino,Cagliari,H
Udinese,Atalanta,H
Verona,Inter,A
Bologna,Crotone,A
Genoa,Sampdoria,A
Atalanta,Spal,D
Cagliari,Verona,H
Chievo,Napoli,D
Fiorentina,Roma,A
Inter,Torino,D
Juventus,Benevento,H
Sassuolo,Milan,A
Napoli,Milan,H
Roma,Lazio,H
Benevento,Sassuolo,A
Crotone,Genoa,A
Inter,Atalanta,H
Sampdoria,Juventus,H
Spal,Fiorentina,D
Torino,Chievo,D
Udinese,Cagliari,A
Verona,Bologna,A
Bologna,Sampdoria,H
Cagliari,Inter,A
Chievo,Spal,H
Sassuolo,Verona,A
Genoa,Roma,D
Juventus,Crotone,H
Lazio,Fiorentina,D
Milan,Torino,D
Udinese,Napoli,A
Atalanta,Benevento,H
Napoli,Juventus,A
Roma,Spal,H
Torino,Atalanta,D
Benevento,Milan,D
Bologna,Cagliari,D
Fiorentina,Sassuolo,H
Inter,Chievo,H
Sampdoria,Lazio,A
Crotone,Udinese,A
Verona,Genoa,A
Cagliari,Sampdoria,D
Juventus,Inter,D
Chievo,Roma,D
Milan,Bologna,H
Napoli,Fiorentina,D
Sassuolo,Crotone,H
Spal,Verona,D
Udinese,Benevento,H
Lazio,Torino,A
Genoa,Atalanta,A
Inter,Udinese,A
Roma,Cagliari,H
Torino,Napoli,A
Atalanta,Lazio,D
Benevento,Spal,A
Bologna,Juventus,A
Crotone,Chievo,H
Fiorentina,Genoa,D
Sampdoria,Sassuolo,A
Verona,Milan,H
Cagliari,Fiorentina,A
Chievo,Bologna,A
Genoa,Benevento,H
Juventus,Roma,H
Lazio,Crotone,H
Milan,Atalanta,A
Napoli,Sampdoria,H
Sassuolo,Inter,H
Spal,Torino,D
Udinese,Verona,H
Crotone,Napoli,A
Atalanta,Cagliari,A
Benevento,Chievo,H
Bologna,Udinese,A
Fiorentina,Milan,D
Inter,Lazio,D
Roma,Sassuolo,D
Sampdoria,Spal,H
Torino,Genoa,D
Verona,Juventus,A
Chievo,Udinese,D
Fiorentina,Inter,D
Benevento,Sampdoria,H
Cagliari,Juventus,A
Genoa,Sassuolo,H
Milan,Crotone,H
Napoli,Verona,H
Roma,Atalanta,A
Spal,Lazio,A
Torino,Bologna,H
Atalanta,Napoli,A
Bologna,Benevento,H
Cagliari,Milan,A
Inter,Roma,D
Lazio,Chievo,H
Sampdoria,Fiorentina,H
Sassuolo,Torino,D
Udinese,Spal,D
Verona,Crotone,A
Juventus,Genoa,H
Lazio,Udinese,H
Sampdoria,Roma,D
Chievo,Juventus,A
Sassuolo,Atalanta,A
Crotone,Cagliari,D
Fiorentina,Verona,A
Genoa,Udinese,A
Milan,Lazio,H
Napoli,Bologna,H
Roma,Sampdoria,A
Spal,Inter,D
Torino,Benevento,H
Inter,Crotone,D
Sampdoria,Torino,D
Atalanta,Chievo,H
Benevento,Napoli,A
Bologna,Fiorentina,A
Cagliari,Spal,H
Juventus,Sassuolo,H
Udinese,Milan,D
Verona,Roma,A
Lazio,Genoa,A
Fiorentina,Juventus,A
Crotone,Atalanta,D
Napoli,Lazio,H
Spal,Milan,A
Chievo,Genoa,A
Inter,Bologna,H
Roma,Benevento,H
Sampdoria,Verona,H
Sassuolo,Cagliari,D
Torino,Udinese,H
Chievo,Cagliari,H
Genoa,Inter,H
Udinese,Roma,A
Atalanta,Fiorentina,D
Benevento,Crotone,H
Bologna,Sassuolo,H
Milan,Sampdoria,H
Napoli,Spal,H
Torino,Juventus,A
Lazio,Verona,H
Bologna,Genoa,H
Inter,Benevento,H
Crotone,Spal,A
Fiorentina,Chievo,H
Roma,Milan,A
Sampdoria,Udinese,H
Sassuolo,Lazio,A
Verona,Torino,H
Cagliari,Napoli,A
Lazio,Juventus,A
Napoli,Roma,A
Spal,Bologna,H
Roma,Torino,H
Verona,Chievo,H
Bologna,Atalanta,A
Cagliari,Lazio,D
Crotone,Sampdoria,H
Fiorentina,Benevento,H
Genoa,Milan,A
Inter,Napoli,D
Juventus,Udinese,H
Sassuolo,Spal,D
Juventus,Atalanta,H
Spal,Juventus,D
Udinese,Sassuolo,A
Benevento,Cagliari,A
Crotone,Roma,A
Lazio,Bologna,D
Milan,Chievo,H
Napoli,Genoa,H
Sampdoria,Inter,A
Torino,Fiorentina,A
Verona,Atalanta,A
Atalanta,Udinese,H
Bologna,Roma,D
Cagliari,Torino,A
Chievo,Sampdoria,H
Fiorentina,Crotone,H
Genoa,Spal,D
Inter,Verona,H
Juventus,Milan,H
Lazio,Benevento,H
Sassuolo,Napoli,D
Atalanta,Sampdoria,A
Genoa,Cagliari,H
Udinese,Fiorentina,A
Benevento,Verona,H
Chievo,Sassuolo,D
Milan,Inter,D
Torino,Crotone,H
Benevento,Juventus,A
Roma,Fiorentina,A
Sampdoria,Genoa,D
Spal,Atalanta,D
Crotone,Bologna,H
Milan,Sassuolo,D
Napoli,Chievo,H
Torino,Inter,H
Udinese,Lazio,A
Verona,Cagliari,H
Atalanta,Inter,D
Cagliari,Udinese,H
Chievo,Torino,D
Genoa,Crotone,H
Bologna,Verona,H
Fiorentina,Spal,D
Juventus,Sampdoria,H
Lazio,Roma,D
Milan,Napoli,D
Sassuolo,Benevento,D
Inter,Cagliari,H
Benevento,Atalanta,A
Crotone,Juventus,D
Fiorentina,Lazio,A
Napoli,Udinese,H
Roma,Genoa,H
Sampdoria,Bologna,H
Spal,Chievo,D
Torino,Milan,D
Verona,Sassuolo,A
Milan,Benevento,A
Sassuolo,Fiorentina,H
Spal,Roma,A
Atalanta,Torino,H
Cagliari,Bologna,D
Chievo,Inter,A
Juventus,Napoli,A
Lazio,Sampdoria,H
Udinese,Crotone,A
Genoa,Verona,H
Inter,Juventus,A
Roma,Chievo,H
Atalanta,Genoa,H
Benevento,Udinese,D
Bologna,Milan,A
Crotone,Sassuolo,H
Fiorentina,Napoli,H
Sampdoria,Cagliari,H
Torino,Lazio,A
Verona,Spal,A
Juventus,Bologna,H
Milan,Verona,H
Cagliari,Roma,A
Chievo,Crotone,H
Genoa,Fiorentina,A
Lazio,Atalanta,D
Napoli,Torino,D
Sassuolo,Sampdoria,H
Spal,Benevento,H
Udinese,Inter,A
Benevento,Genoa,H
Inter,Sassuolo,A
Atalanta,Milan,D
Bologna,Chievo,A
Crotone,Lazio,D
Fiorentina,Cagliari,A
Roma,Juventus,D
Sampdoria,Napoli,A
Torino,Spal,H
Verona,Udinese,A
Juventus,Verona,H
Cagliari,Atalanta,H
Chievo,Benevento,H
Genoa,Torino,A
Lazio,Inter,A
Milan,Fiorentina,H
Napoli,Crotone,H
Sassuolo,Roma,A
Spal,Sampdoria,H
Udinese,Bologna,H
